cat_name;cat_url;syb_cat_name;syb_cat_url;art_id;art_title;art_url;desc;art_img;param
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;0;"Dahua DH-IPC-HFW8301EP";http://dahua-russia.ru/product/DH-IPC-HFW8301EP;"1/3&rdquo; 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 &amp; MJPEG, 30fps@3.0M(2048&times;1536), Color: 0. 1Lux/F1.2, WDR (120 dB), Smart Function, Triple streams, Ultra Defog, ROI, EIS, Day/Night, 3DNR, Alarm In/Out - 1/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, -30&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429184247114;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:25, День/Ночь:Да, Чувствительность Цвет, лк:0.1, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:2.7 ... 12, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-30 ... 60, Длина, мм:273.3, Ширина, мм:94.8, Высота, мм:94.8, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;1;"Dahua DH-IPC-HFW8301EP-H";http://dahua-russia.ru/product/DH-IPC-HFW8301EP-H;"1/3&rdquo; 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 &amp; MJPEG, 30fps@3.0M(2048&times;1536), Color: 0. 1Lux/F1.2, WDR (120 dB), Smart Function, Triple streams, Ultra Defog, ROI, EIS, Day/Night, 3DNR, Alarm In/Out - 1/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429184237218;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:25, День/Ночь:Да, Чувствительность Цвет, лк:0.1, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:2.7 ... 12, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-30 ... 60, Длина, мм:273.3, Ширина, мм:94.8, Высота, мм:94.8, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;2;"Dahua DH-IPC-HFW8301EP-Z";http://dahua-russia.ru/product/DH-IPC-HFW8301EP-Z;"1/3&rdquo; 3M Aptina CMOS, 3-9mm motorized lens , H.264 &amp; MJPEG, 30fps@3.0M(2048&times;1536), Color: 0. 1Lux/F1.2, WDR (120 dB), Smart Function, Triple streams, Ultra Defog, ROI, EIS, Day/Night, 3DNR, Alarm In/Out - 1/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, -30&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429184227564;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:25, День/Ночь:Да, Чувствительность Цвет, лк:0.1, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:3 ... 9, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-30 ... 60, Длина, мм:273.3, Ширина, мм:94.8, Высота, мм:94.8, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;3;"Dahua DH-IPC-HFW8301EP-H-Z";http://dahua-russia.ru/product/DH-IPC-HFW8301EP-H-Z;"1/3&rdquo; 3M Aptina CMOS, 3-9mm motorized lens , H.264 &amp; MJPEG, 30fps@3.0M(2048&times;1536), Color: 0.1Lux/F1.2, WDR (120 dB), Smart Function, Triple streams, Ultra Defog, ROI, EIS, Day/Night, 3DNR, Alarm In/Out - 1/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429184216858;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:25, День/Ночь:Да, Чувствительность Цвет, лк:0.1, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:3 ... 9, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-30 ... 60, Длина, мм:273.3, Ширина, мм:94.8, Высота, мм:94.8, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;4;"Dahua DH-IPC-HFW5502CP-H";http://dahua-russia.ru/product/DH-IPC-HFW5502CP-H;"1/2.5&rdquo; 5M CMOS, 4-9mm motorized lens , H.264 &amp; MJPEG, 12fps@5M(2560&times;1920), 30fps@1080P, Color: 0.01Lux/F1.6, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V, PoE, Heater, -40&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429184146780;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/2.5, Общее кол-во пикселей, Мп:5, Кадров в секунду при максимальном разрешении:12, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:4 ... 9, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-30 ... 60, Длина, мм:306.7, Ширина, мм:104, Высота, мм:104, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;5;"Dahua DH-IPC-HFW5200EP-H-Z12";http://dahua-russia.ru/product/DH-IPC-HFW5200EP-H-Z12;"1/2.8&rdquo; 2M Exmor CMOS, 5.1-61.2mm (12x zoom) motorized lens , H.264 &amp; MJPEG, 30fps@1080P, Color: 0.05Lux/F1.6, WDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, Alarm In/Out - 1/1, Audio In/Out - 1/1, Micro SD, IR LED 100m, IP66, DC12V/PoE, -30&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429183592555;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/2.8, Общее кол-во пикселей, Мп:2, Кадров в секунду при максимальном разрешении:25, День/Ночь:Да, Чувствительность Цвет, лк:0.1, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:5.1 ... 61.2, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-30 ... 60, Длина, мм:273.3, Ширина, мм:94.8, Высота, мм:94.8, Вес, гр:1300"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;6;"Dahua DH-IPC-HFW5300EP-VF";http://dahua-russia.ru/product/DH-IPC-HFW5300EP-VF;"1/3&rdquo; 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 &amp; MJPEG, 20fps@3.0M(2048&times;1536)/30fps@1080P, Color: 0.01Lux/F1.4, DWDR, Day/Night, 3DNR, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, -30&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429184016770;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:20, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:2.7 ... 12, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-30 ... 60, Длина, мм:273.3, Ширина, мм:94.8, Высота, мм:94.8, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;7;"Dahua DH-IPC-HFW5300EP-H-VF";http://dahua-russia.ru/product/DH-IPC-HFW5300EP-H-VF;"1/3&rdquo; 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 &amp; MJPEG, 20fps@3.0M(2048&times;1536)/30fps@1080P, Color: 0.01Lux/F1.4, DWDR, Day/Night, 3DNR, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429184005900;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:20, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:2.8 ... 12, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-30 ... 60, Длина, мм:273.3, Ширина, мм:94.8, Высота, мм:94.8, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;8;"Dahua DH-IPC-HFW5300EP-Z";http://dahua-russia.ru/product/DH-IPC-HFW5300EP-Z;"1/3&rdquo; 3M Aptina CMOS, 3-9mm motorized lens, H.264 &amp; MJPEG, 20fps@3.0M(2048&times;1536)/30fps@1080P, Color: 0.01Lux/F1.4, DWDR, Day/Night, 3DNR, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, -30&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429183972962;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:20, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:3 ... 9, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-30 ... 60, Длина, мм:273.3, Ширина, мм:94.8, Высота, мм:94.8, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;9;"Dahua DH-IPC-HFW5300EP-H-Z";http://dahua-russia.ru/product/DH-IPC-HFW5300EP-H-Z;"1/3&rdquo; 3M Aptina CMOS, 3-9mm motorized lens, H.264 &amp; MJPEG, 20fps@3.0M(2048&times;1536)/30fps@1080P, Color: 0.01Lux/F1.4, DWDR, Day/Night, 3DNR, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429183963006;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:20, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:3 ... 9, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-30 ... 60, Длина, мм:273.3, Ширина, мм:94.8, Высота, мм:94.8, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;10;"Dahua DH-IPC-HFW5302CP-H";http://dahua-russia.ru/product/DH-IPC-HFW5302CP-H;"1/3&rdquo; 3M Aptina CMOS, 3-9mm motorized lens, H.264 &amp; MJPEG, 20fps@3.0M(2048&times;1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429184093009;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:20, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:3 ... 9, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-20 ... 60, Длина, мм:306.7, Ширина, мм:104, Высота, мм:104, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;11;"Dahua DH-IPC-HFW5300CP-H";http://dahua-russia.ru/product/DH-IPC-HFW5300CP-H;"1/3&rdquo; 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 &amp; MJPEG, 20fps@3.0M(2048&times;1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429184061811;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:20, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:2.7 ... 12, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-20 ... 60, Длина, мм:306.7, Ширина, мм:104, Высота, мм:104, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;12;"Dahua DH-IPC-HFW5300CP-L";http://dahua-russia.ru/product/DH-IPC-HFW5300CP-L;"1/3&rdquo; 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 &amp; MJPEG, 20fps@3.0M(2048&times;1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, IR LED 30m, IP66, DC12V/PoE, -30&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429184052717;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:20, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:2.7 ... 12, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-20 ... 60, Длина, мм:306.7, Ширина, мм:104, Высота, мм:104, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;13;"Dahua DH-IPC-HFW5300CP-H-L";http://dahua-russia.ru/product/DH-IPC-HFW5300CP-H-L;"1/3&rdquo; 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 &amp; MJPEG, 20fps@3.0M(2048&times;1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, IR LED 30m, IP66, DC12V/PoE, Heater, -40&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429184041944;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:20, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.01, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Варифокальный, Фокусное расстояние объектива:2.7 ... 12, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Да, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, 24V AC, Температура:-20 ... 60, Длина, мм:306.7, Ширина, мм:104, Высота, мм:104, Вес, гр:1250"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;14;"Dahua DH-IPC-HFW4300SP-0360B";http://dahua-russia.ru/product/DH-IPC-HFW4300SP-0360B;"1/3&rdquo; 3M Aptina CMOS, 3.6mm fixed lens, H.264 &amp; MJPEG, 20fps@3.0M(2048&times;1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, IR LED 30m, IP66, DC12V/PoE,-20&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429182655776;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:20, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.005, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Фиксированный, Фокусное расстояние объектива:3.6, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Нет, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, Температура:-30 ... 60, Длина, мм:160, Ширина, мм:66, Высота, мм:70, Вес, гр:420"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;15;"Dahua DH-IPC-HFW4300SP-0600B";http://dahua-russia.ru/product/DH-IPC-HFW4300SP-0600B;"1/3&rdquo; 3M Aptina CMOS, 6mm fixed lens, H.264 &amp; MJPEG, 20fps@3.0M(2048&times;1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, IR LED 30m, IP66, DC12V/PoE,-20&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429182640590;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:20, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.005, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Фиксированный, Фокусное расстояние объектива:6, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Нет, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, Температура:-30 ... 60, Длина, мм:160, Ширина, мм:66, Высота, мм:70, Вес, гр:420"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;16;"Dahua DH-IPC-HFW4300SP-0800B";http://dahua-russia.ru/product/DH-IPC-HFW4300SP-0800B;"1/3&rdquo; 3M Aptina CMOS, 8mm fixed lens, H.264 &amp; MJPEG, 20fps@3.0M(2048&times;1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, IR LED 30m, IP66, DC12V, PoE,-20&deg;C~+60&deg;C";http://dahua-russia.ru/imgs/1429182614382;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:20, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.005, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Фиксированный, Фокусное расстояние объектива:8, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Нет, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, Температура:-30 ... 60, Длина, мм:160, Ширина, мм:66, Высота, мм:70, Вес, гр:420"
IP-камеры;http://dahua-russia.ru/catalog/IP-камеры;"Цилиндрические камеры";http://dahua-russia.ru/catalog/ip-bullet;17;"Dahua DH-IPC-HFW4300EP-0360B";http://dahua-russia.ru/product/DH-IPC-HFW4300EP-0360B;"1/3” 3M Aptina CMOS, 3.6mm fixed lens, H.264/MJPEG, 20fps@3.0M(2048?1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, IR LED 30m, IP66, DC12V/PoE,-20°C~+60°C";http://dahua-russia.ru/imgs/1429182571848;"Тип устройства:IP-видеокамера, Тип корпуса:Цилиндрическая (BULLET), Среда:Уличная, Тип матрицы:CMOS, Размер матрицы, &quot;:1/3, Общее кол-во пикселей, Мп:3, Кадров в секунду при максимальном разрешении:25, День/Ночь:Да, Чувствительность Цвет, лк:0.01, Чувствительность ЧБ, лк:0.005, ИК подсветка:Да, Сменный объектив:Нет, Тип объектива:Фиксированный, Фокусное расстояние объектива:3.6, Поддержка видеокодеков:H.264, Motion JPEG, Встроенный микрофон:Нет, Аудиовход:Нет, Беспроводной адаптер:Нет, PTZ:Нет, Тип поддерживаемых карт памяти:Micro SD, Поддержка ONVIF:Да, Питание:PoE 802.3af, 12V DC, Температура:-20 ... 60, Длина, мм:168.1, Ширина, мм:66, Высота, мм:58.4, Вес, гр:500"
