cat_name;cat_url;cat_img;art_url;art_id;art_title;desc;images;param
"Специализированные решения для видеонаблюдения";http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/;http://rvi-cctv.ru/upload/resize_cache/iblock/28d/247_180_1/RVi-RM08_1.jpg;http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/antivandalnaya_s_ik_podsvetkoy_rvi_c311vb_2_8_mm/;0;"Антивандальная с ИК-подсветкой RVi-C311VB (2.8 мм)";"В видеокамере используется светочувствительный сенсор с 976х582 эффективными пикселями, что позволяет достичь разрешающей способности камеры до 700 ТВЛ. </P> Камера видеонаблюдения оснащена объективом c фиксированным фокусным расстоянием&nbsp;2.8 мм.  RVi-C311VB оснащена&nbsp; ИК-подсветкой дальностью до 20 метров, а также имеет класс защиты IP66, что позволяет использовать ее как внутри, так и вне помещений даже при самой низкой освещенности.";"0:http://rvi-cctv.ru/upload/resize_cache/iblock/a56/369_216_1/RVi-C311VB_1.jpg, 1:http://rvi-cctv.ru/upload/resize_cache/iblock/e4c/369_216_1/RVi-C311VB_2.jpg, 2:http://rvi-cctv.ru/upload/resize_cache/iblock/4fc/369_216_1/RVi-C311VB_3.jpg";"Тип матрицы:1/3” ПЗС, Фокусное расстояние объектива:2.8 мм, Горизонтальный угол обзора:81°, Нижний порог чувствительности:0,001 Люкс (АРУ вкл.), 0,002 Люкс F1.8 (АРУ вкл.), Количество пикселей по горизонтали и вертикали:976x582, Компенсация задней засветки (BLC):Авто, Баланс белого (AWB):Авто, Режим «День/ночь»:Электронное переключение, Дальность ИК-подсветки:До 20 м, Отношение сигнал/шум:62 дБ (АРУ выкл.), Класс защиты:IP66, Диапазон рабочих температур:-40 … +60°С, Напряжение питания:DC 12 В, Потребление тока:Не более 2.5Вт, Габаритные размеры:89.6x59.1x87.6, Вес:400 г"
"Специализированные решения для видеонаблюдения";http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/;http://rvi-cctv.ru/upload/resize_cache/iblock/28d/247_180_1/RVi-RM08_1.jpg;http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/avtomobilnyy_videoregistrator_rvi_rm04b/;1;"Автомобильный видеорегистратор RVi-RM04B";"Видеорегистратор RVI-RM04B  оснащен механизмом защиты жесткого диска от вибраций при эксплуатации на транспорте.  Он поддерживает функцию записи как на жесткий диск HDD 2.5 SATA (до 1 ТБ), так и на карту памяти SDXC (до 128 ГБ). Питание камер напрямую от видеорегистратора. Питание камер напрямую от видеорегистратора. По своим габаритам видеорегистратор имеет размеры обычной автомагнитолы, так что его легко можно установить в автомобильную приборную панель. Встроенный UPS со временем работы до 5 сек. защищает регистратор от сбоев в работе.";"0:http://rvi-cctv.ru/upload/resize_cache/iblock/632/369_216_1/RVi-RM04.jpg, 1:http://rvi-cctv.ru/upload/resize_cache/iblock/f0d/369_216_1/RVi-RM04_2.jpg, 2:http://rvi-cctv.ru/upload/resize_cache/iblock/98a/369_216_1/RVi-RM04_3.jpg, 3:http://rvi-cctv.ru/upload/resize_cache/iblock/845/369_216_1/RVi-RM04_4.jpg, 4:http://rvi-cctv.ru/upload/resize_cache/iblock/1e0/369_216_1/RVi-RM04_5.jpg";"Количество каналов:4 (BNC), Потребляемая мощность:Не более 15 Вт (без учета камер и HDD), Формат сжатия видео:Н.264, MJPEG (поддержка в спец. версиях прошивки), Видеовыходы:2 BNC / 1 VGA, Количество аудио вх./вых:4/2 (BNC), Тревожные вх./вых.:7/2, Максимальное разрешение записи аналоговых камер:904х576, Разрешение и скорость записи:960x576, 100к/с; 720х576, 100к/с, Допустимые перегрузки:5Hz~300Hz: X / Y / Z в каждом направлении 8 ч, 5Hz~11Hz: амплитуда 10 мм, 11Hz~300Hz: 50м/ с2, Формат сжатия аудио:G.711A, Количество, тип, максимальный объем HDD:2.5’ SATA до 1 ТБ, Карта памяти:SD-карта до 128 ГБ, Режим архивации:USB Flash, USB  HDD, USB CD/DVDRW, через сеть, USB интерфейс:2 USB порта, Сетевые протоколы:TCP/IP , DDNS, PPPOE, E-mail, FTP, NTP, Сетевые инструменты:Встроенный web-сервер (IE, Google chrome, Firefox Mozilla), сетевой клиент RVi-SmartPSS для Windows XP и Windows 7, OS Linux, MAC OS, Поддержка мобильных платформ:ОS Symbian, ОS Windows mobile, ОS Android, ОS Blackberry, iОS, Дополнительные опции:GPS+GLONASS, Диапазон рабочих температур:-40...60°С (запись при низких темп. на SD-карту), Питание:+12 В / +24 В / +36 В (+6 В~+36 В), Габаритные размеры:211х180х50 мм, Вес:2.1 кг, без учета HDD, Размещение:Крепления, автомобильная панель"
"Специализированные решения для видеонаблюдения";http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/;http://rvi-cctv.ru/upload/resize_cache/iblock/28d/247_180_1/RVi-RM08_1.jpg;http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/avtomobilnyy_videoregistrator_rvi_rm04e_3g_gps_glonass/;2;"Автомобильный видеорегистратор RVi-RM04E (3G / GPS+GLONASS)";"Видеорегистратор RVi-RM04E оснащен механизмом защиты жесткого диска от вибраций при эксплуатации на транспорте.   Он поддерживает функцию записи как на жесткий диск HDD 2.5 SATA (до 1 ТБ), так и на карту памяти SDXC (до 128 ГБ). Питание камер напрямую от видеорегистратора.  Питание камер напрямую от видеорегистратора.  По своим габаритам видеорегистратор имеет размеры обычной автомагнитолы, так что его легко можно установить в автомобильную приборную панель.  Видеорегистратор оснащен модулями 3G, GPS+GLONASS.  Встроенный UPS со временем работы до 5 сек. защищает регистратор от сбоев в работе.";"0:http://rvi-cctv.ru/upload/resize_cache/iblock/039/369_216_1/RVi-RM04.jpg, 1:http://rvi-cctv.ru/upload/resize_cache/iblock/954/369_216_1/RVi-RM04_2.jpg, 2:http://rvi-cctv.ru/upload/resize_cache/iblock/cae/369_216_1/RVi-RM04_3.jpg, 3:http://rvi-cctv.ru/upload/resize_cache/iblock/f14/369_216_1/RVi-RM04_4.jpg, 4:http://rvi-cctv.ru/upload/resize_cache/iblock/1f7/369_216_1/RVi-RM04_5.jpg";"Количество каналов:4 (BNC), Потребляемая мощность:Не более 15 Вт (без учета камер и HDD), Формат сжатия видео:Н.264, MJPEG (поддержка в спец. версиях прошивки), Видеовыходы:2 BNC / 1 VGA, Количество аудио вх./вых:4/2 (BNC), Тревожные вх./вых.:7/2, Максимальное разрешение записи аналоговых камер:904х576, Разрешение и скорость записи:960x576, 100к/с; 720х576, 100к/с, Допустимые перегрузки:5Hz~300Hz: X / Y / Z в каждом направлении 8 ч, 5Hz~11Hz: амплитуда 10 мм, 11Hz~300Hz: 50м/ с2, Формат сжатия аудио:G.711A, Количество, тип, максимальный объем HDD:2.5’ SATA до 1 ТБ, Карта памяти:SD-карта до 128 ГБ, Режим архивации:USB Flash, USB  HDD, USB CD/DVDRW, через сеть, USB интерфейс:2 USB порта, Сетевые протоколы:TCP/IP , DDNS, PPPOE, E-mail, FTP, NTP, Сетевые инструменты:Встроенный web-сервер (IE, Google chrome, Firefox Mozilla), сетевой клиент RVi-SmartPSS для Windows XP и Windows 7, OS Linux, MAC OS, Поддержка мобильных платформ:ОS Symbian, ОS Windows mobile, ОS Android, ОS Blackberry, iОS, Дополнительные опции:3G, GPS+GLONASS, Диапазон рабочих температур:-40...60°С (запись при низких темп. на SD-карту), Питание:+12 В / +24 В / +36 В (+6 В~+36 В), Габаритные размеры:211х180х50 мм, Вес:2.1 кг, без учета HDD, Размещение:Крепления, автомобильная панель"
"Специализированные решения для видеонаблюдения";http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/;http://rvi-cctv.ru/upload/resize_cache/iblock/28d/247_180_1/RVi-RM08_1.jpg;http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/avtomobilnyy_videoregistrator_rvi_rm04g_3g_gps_glonass_wi_fi/;3;"Автомобильный видеорегистратор RVi-RM04G (3G / GPS+GLONASS / Wi-Fi)";"Видеорегистратор RVi-RM04G оснащен механизмом защиты жесткого диска от вибраций при эксплуатации на транспорте.  Он поддерживает функцию записи как на жесткий диск HDD 2.5 SATA (до 1 ТБ), так и на карту памяти SDXC (до 128 ГБ). Питание камер напрямую от видеорегистратора. Питание камер напрямую от видеорегистратора. По своим габаритам видеорегистратор имеет размеры обычной автомагнитолы, так что его легко можно установить в автомобильную приборную панель. Видеорегистратор оснащен модулями&nbsp;3G, GPS+GLONASS, WIFI. Встроенный UPS со временем работы до 5 сек. защищает регистратор от сбоев в работе.";"0:http://rvi-cctv.ru/upload/resize_cache/iblock/338/369_216_1/RVi-RM04.jpg, 1:http://rvi-cctv.ru/upload/resize_cache/iblock/ca6/369_216_1/RVi-RM04_2.jpg, 2:http://rvi-cctv.ru/upload/resize_cache/iblock/920/369_216_1/RVi-RM04_3.jpg, 3:http://rvi-cctv.ru/upload/resize_cache/iblock/247/369_216_1/RVi-RM04_4.jpg, 4:http://rvi-cctv.ru/upload/resize_cache/iblock/5ab/369_216_1/RVi-RM04_5.jpg";"Количество каналов:4 (BNC), Потребляемая мощность:Не более 15 Вт (без учета камер и HDD), Формат сжатия видео:Н.264, MJPEG (поддержка в спец. версиях прошивки), Видеовыходы:2 BNC / 1 VGA, Количество аудио вх./вых:4/2 (BNC), Тревожные вх./вых.:7/2, Максимальное разрешение записи аналоговых камер:904х576, Разрешение и скорость записи:960x576, 100к/с; 720х576, 100к/с, Допустимые перегрузки:5Hz~300Hz: X / Y / Z в каждом направлении 8 ч, 5Hz~11Hz: амплитуда 10 мм, 11Hz~300Hz: 50м/ с2, Формат сжатия аудио:G.711A, Количество, тип, максимальный объем HDD:2.5’ SATA до 1 ТБ, Карта памяти:SD-карта до 128 ГБ, Режим архивации:USB Flash, USB  HDD, USB CD/DVDRW, через сеть, USB интерфейс:2 USB порта, Сетевые протоколы:TCP/IP , DDNS, PPPOE, E-mail, FTP, NTP, Сетевые инструменты:Встроенный web-сервер (IE, Google chrome, Firefox Mozilla), сетевой клиент RVi-SmartPSS для Windows XP и Windows 7, OS Linux, MAC OS, Поддержка мобильных платформ:ОS Symbian, ОS Windows mobile, ОS Android, ОS Blackberry, iОS, Дополнительные опции:3G, GPS+GLONASS, Wi-Fi, Диапазон рабочих температур:-40...60°С (запись при низких темп. на SD-карту), Питание:+12 В / +24 В / +36 В (+6 В~+36 В), Габаритные размеры:211х180х50 мм, Вес:2.1 кг, без учета HDD, Размещение:Крепления, автомобильная панель"
"Специализированные решения для видеонаблюдения";http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/;http://rvi-cctv.ru/upload/resize_cache/iblock/28d/247_180_1/RVi-RM08_1.jpg;http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/avtomobilnyy_videoregistrator_rvi_rm04sd_m/;4;"Автомобильный видеорегистратор RVi-RM04SD/M";"&nbsp;   Четырехканальный мобильный видеорегистратор с возможностью записи аудио и видео с разрешением 704&times;576&nbsp;(25 к/с на&nbsp;каждый канал) и&nbsp;архива на две SD карты емкостью до 128 ГБ каждая.   В данной комплектации отсутствуют дополнительные модули и интерфейсы, кроме USB для архивации&nbsp;и RS-232, RS-485 .  Высокая надежность, широкий диапазон эксплуатационных условий и низкая цена устройства делают регистратор идеальным бюджетным решением.";"0:http://rvi-cctv.ru/upload/resize_cache/iblock/aa1/369_216_1/RVi-RM04SD_2.jpg, 1:http://rvi-cctv.ru/upload/resize_cache/iblock/e5e/369_216_1/RVi-RM04SD_1.jpg, 2:http://rvi-cctv.ru/upload/resize_cache/iblock/168/369_216_1/RVi-RM04SD_3.jpg, 3:http://rvi-cctv.ru/upload/resize_cache/iblock/ae1/369_216_1/RVi-RM04SD_4.jpg";"Количество каналов:4 (BNC), Формат сжатия видео:H.264, Видеовыходы:1 BNC, Количество аудио вх./вых:4/1 (BNC), Тревожные вх./вых.:7/2, Максимальное разрешение записи аналоговых камер:704x576(D1), Разрешение и скорость записи:704х576(D1) – 100к/с, 352х576(HD1) – 100к/с, 704х288(2CIF) – 100к/с, 352x288(CIF) - 100 к/с, Допустимые перегрузки:Макс. давление на корпус: 90 Па. Тест вибрации: (5-500) Hz с амплитудой до 0,15 мм до 30 минут в каждом из направлений X,Y,Z. Тест встряски/удара: ускорение до 50 м/с2 до 11 мс в каждом из напр X,Y,Z, Карта памяти:SD-карта до 128 ГБ, Режим архивации:USB, USB интерфейс:1 USB порт, Диапазон рабочих температур:-25...+55°С, Питание:DC 8В~36В; прямое питание камер через регистратор; потребляемая мощность не более 8 Вт (без учета камер); для защиты от сбоев; питание камер, монитора: 12V-2A, по 0,5А на канал, Габаритные размеры:190x154x52 мм, Размещение:Крепления"
"Специализированные решения для видеонаблюдения";http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/;http://rvi-cctv.ru/upload/resize_cache/iblock/28d/247_180_1/RVi-RM08_1.jpg;http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/avtomobilnyy_videoregistrator_rvi_rm04sd/;5;"Автомобильный видеорегистратор RVi-RM04SD";"Четырехканальный мобильный видеорегистратор с возможностью записи аудио и видео с разрешением 704&times;576&nbsp;(25 к/с на&nbsp;каждый канал) и&nbsp;архива на две SD карты емкостью до 128 ГБ каждая.  В базовой комплектации отсутствуют дополнительные модули и интерфейсы, кроме USB для архивации.. Высокая надежность, широкий диапазон эксплуатационных условий и низкая цена устройства делают регистратор идеальным бюджетным решением.";"0:http://rvi-cctv.ru/upload/resize_cache/iblock/802/369_216_1/RVi-RM04SD_2.jpg, 1:http://rvi-cctv.ru/upload/resize_cache/iblock/5c9/369_216_1/RVi-RM04SD_1.jpg, 2:http://rvi-cctv.ru/upload/resize_cache/iblock/5e1/369_216_1/RVi-RM04SD_3.jpg, 3:http://rvi-cctv.ru/upload/resize_cache/iblock/baa/369_216_1/RVi-RM04SD_4.jpg";"Количество каналов:4 (BNC), Формат сжатия видео:H.264, Видеовыходы:1 BNC, Количество аудио вх./вых:4/1 (BNC), Тревожные вх./вых.:7/2, Максимальное разрешение записи аналоговых камер:704x576(D1), Разрешение и скорость записи:704х576(D1) – 100к/с, 352х576(HD1) – 100к/с, 704х288(2CIF) – 100к/с, 352x288(CIF) - 100 к/с, Допустимые перегрузки:Макс. давление на корпус: 90 Па. Тест вибрации: (5-500) Hz с амплитудой до 0,15 мм до 30 минут в каждом из направлений X,Y,Z. Тест встряски/удара: ускорение до 50 м/с2 до 11 мс в каждом из напр X,Y,Z, Карта памяти:SD-карта до 128 ГБ, Режим архивации:USB, USB интерфейс:1 USB порт, Диапазон рабочих температур:-25...+55°С, Питание:DC 8В~36В; прямое питание камер через регистратор; потребляемая мощность не более 8 Вт (без учета камер); для защиты от сбоев; питание камер, монитора: 12V-2A, по 0,5А на канал, Габаритные размеры:190x154x52 мм, Вес:0.9 кг, Размещение:Крепления"
"Специализированные решения для видеонаблюдения";http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/;http://rvi-cctv.ru/upload/resize_cache/iblock/28d/247_180_1/RVi-RM08_1.jpg;http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/avtomobilnyy_videoregistrator_rvi_rm08/;6;"Автомобильный видеорегистратор RVi-RM08";"Поддержка двух HDD  2.5 SATA (до 1 ТБ каждый) с виброзащитой внутри специального съёмного кейса для HDD.  Питание периферийного оборудования напрямую от регистратора ( микрофоны, камеры, и т.д). Наличие встроенного UPS  со временем работы до 5 сек. Гибридный режим позволяет записывать на регистратор помимо 8 аналоговых каналов 960Н(real   time ) 4IP  канала в разрешении 720P  (real   time ) или 2 IP  канала в разрешении 1080P  (real   time ). Это позволяет выделить от двух до четырёх зон повышенной детализации для фиксации автомобильных номеров или лиц входящих пассажиров.";"0:http://rvi-cctv.ru/upload/resize_cache/iblock/203/369_216_1/RVi-RM08.jpg, 1:http://rvi-cctv.ru/upload/resize_cache/iblock/ea0/369_216_1/RVi-RM08_1.jpg, 2:http://rvi-cctv.ru/upload/resize_cache/iblock/0f1/369_216_1/RVi-RM08_2.jpg, 3:http://rvi-cctv.ru/upload/resize_cache/iblock/465/369_216_1/RVi-RM08_3.jpg, 4:http://rvi-cctv.ru/upload/resize_cache/iblock/641/369_216_1/RVi-RM08_4.jpg";"Формат сжатия видео:Н.264, MJPEG, Количество аналоговых каналов:8 (BNC), Количество IP-каналов:4, Видеовыходы:2 BNC / 1 VGA, Количество аудио вх./вых:8/2 (BNC), Тревожные вх./вых.:7/2, Максимальное разрешение записи аналоговых камер:960x576, Максимальное разрешение подключаемых IP-видеокамер:1920х1080, Разрешение и скорость записи (аналог/ IP):960x576, 200 к/c / 1920x1080, 50 к/с; 1280x720, 100 к/с, Формат сжатия аудио:G711A, Количество, тип, максимальный объем HDD:До 2-х HDD 2.5’ SATA до 1 ТБ каждый, Режим архивации:USB Flash, USB HDD, USB CD/DVDRW, Ethernet, Wi-Fi (опционально), USB интерфейс:2 USB порта, Сетевые протоколы:TCP/IP , DDNS, PPPOE, E-mail, FTP, NTP, Сетевые инструменты:Встроенный web-сервер (IE, Google chrome, Firefox Mozilla), сетевой клиент RVi-SmartPSS для Windows XP и Windows 7, OS Linux, MAC OS, Поддержка мобильных платформ:ОS Symbian, ОS Windows mobile, ОS Android, ОS Blackberry, iОS, Питание:DC 8В...36 В, программируемая задержка ВКЛ/ВЫКЛ; прямое питание камер через регистратор; потребляемая мощность не более 15 Вт (без учета камер и HDD); встроенный UPS со временем работы до 5 сек, Габаритные размеры:252х202х91 мм, Вес:3.5 кг, без учета HDD, Размещение:Крепления, автомобильная панель"
"Специализированные решения для видеонаблюдения";http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/;http://rvi-cctv.ru/upload/resize_cache/iblock/28d/247_180_1/RVi-RM08_1.jpg;http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/avtomobilnyy_videoregistrator_rvi_rm08g/;7;"Автомобильный видеорегистратор RVi-RM08G";"Питание периферийного оборудования напрямую от регистратора ( микрофоны, камеры, и т.д); Наличие встроенного UPS  со временем работы до 5 сек;  Оснащен дополнительными модулями 3G , GPS +GLONAS, Wi-Fi;   Гибридный режим позволяет записывать на регистратор помимо 8 аналоговых каналов 960Н(real   time ) 4IP  канала в разрешении 720P  (real   time ) или 2 IP  канала в разрешении 1080P  (real   time ). Это позволяет выделить от двух до четырёх зон повышенной детализации для фиксации автомобильных номеров или лиц входящих пассажиров.";"0:http://rvi-cctv.ru/upload/resize_cache/iblock/130/369_216_1/RVi-RM08.jpg, 1:http://rvi-cctv.ru/upload/resize_cache/iblock/87f/369_216_1/RVi-RM08_1.jpg, 2:http://rvi-cctv.ru/upload/resize_cache/iblock/2f9/369_216_1/RVi-RM08_2.jpg, 3:http://rvi-cctv.ru/upload/resize_cache/iblock/9bf/369_216_1/RVi-RM08_3.jpg, 4:http://rvi-cctv.ru/upload/resize_cache/iblock/4d3/369_216_1/RVi-RM08_4.jpg";"Формат сжатия видео:Н.264, MJPEG, Количество аналоговых каналов:8 (BNC), Количество IP-каналов:4, Видеовыходы:2 BNC / 1 VGA, Количество аудио вх./вых:8/2 (BNC), Тревожные вх./вых.:7/2, Максимальное разрешение записи аналоговых камер:960x576, Максимальное разрешение подключаемых IP-видеокамер:1920х1080, Разрешение и скорость записи (аналог/ IP):960x576, 200 к/c / 1920x1080, 50 к/с; 1280x720, 100 к/с, Формат сжатия аудио:G711A, Количество, тип, максимальный объем HDD:До 2-х HDD 2.5’ SATA до 1 ТБ каждый, Режим архивации:USB Flash, USB HDD, USB CD/DVDRW, Ethernet, Wi-Fi (опционально), USB интерфейс:2 USB порта, Сетевые протоколы:TCP/IP , DDNS, PPPOE, E-mail, FTP, NTP, Сетевые инструменты:Встроенный web-сервер (IE, Google chrome, Firefox Mozilla), сетевой клиент RVi-SmartPSS для Windows XP и Windows 7, OS Linux, MAC OS, Поддержка мобильных платформ:ОS Symbian, ОS Windows mobile, ОS Android, ОS Blackberry, iОS, Дополнительные опции:3G, Wi-Fi, GPS+GLONASS, Питание:DC 8В...36 В, программируемая задержка ВКЛ/ВЫКЛ; прямое питание камер через регистратор; потребляемая мощность не более 15 Вт (без учета камер и HDD); встроенный UPS со временем работы до 5 сек, Габаритные размеры:252х202х91 мм, Вес:3.5 кг, без учета HDD, Размещение:Крепления, автомобильная панель"
"Специализированные решения для видеонаблюдения";http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/;http://rvi-cctv.ru/upload/resize_cache/iblock/28d/247_180_1/RVi-RM08_1.jpg;http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/avtomobilnyy_videoregistrator_rvi_rm04s_a/;8;"Автомобильный видеорегистратор RVI-RM04S-A";"Профессиональный 4-канальный автомобильный видеорегистратор с возможностью записи с разрешением 960&times;576(960H), 25 к/с по каждому каналу. Запись информации осуществляется на SD-карту. Модель RVi-RM04S-A оснащена GPS модулем.";0:http://rvi-cctv.ru/upload/resize_cache/iblock/287/369_216_1/2872560d87a83102975a24d5ed997196.png;"Потребляемая мощность:не более 12 Вт (без учета камер), Формат сжатия видео:Н.264, MJPEG, Видеовыходы:2 BNC / 1 VGA, Количество аудио вх./вых:4/1 (BNC), Тревожные вх./вых.:7/2, Максимальное разрешение записи аналоговых камер:960x576, Разрешение и скорость записи:960x576, 100к/с; 720х576, 100к/с, Допустимые перегрузки:5-500Hz: X / Y / Z в каждом направлении 8 ч; 5-11H: амплитуда 10 мм; 11-300Hz: 50м/с2, Карта памяти:SD-карта до 128 ГБ, Режим архивации:USB Flash, USB HDD, USB CD/DVDRW, Ethernet, WIFI (опционально), USB интерфейс:2 USB порта, Сетевые протоколы:TCP/IP , DDNS, PPPOE, E-mail, FTP, NTP, Сетевые инструменты:Встроенный web-сервер (IE, Google chrome, Firefox Mozilla), сетевой клиент RVi-PSS для Windows XP и Windows 7, OS Linux, MAC OS, Поддержка мобильных платформ:ОS Windows Mobile/Phone, ОS Android, iОS, Дополнительные опции:GPS + поддержка SD карт для записи архива, Диапазон рабочих температур:-40...60°С, Питание:DC6В~36В, Габаритные размеры:180x230x50, Вес:2,1 кг, Размещение:Крепления, автомобильная панель"
"Специализированные решения для видеонаблюдения";http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/;http://rvi-cctv.ru/upload/resize_cache/iblock/28d/247_180_1/RVi-RM08_1.jpg;http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/avtomobilnyy_videoregistrator_rvi_rm04s/;9;"Автомобильный видеорегистратор RVI-RM04S";"Профессиональный 4-канальный автомобильный видеорегистратор с возможностью записи с разрешением 960&times;576(960H), 25 к/с по каждому каналу. Запись информации осуществляется на SD-карту.";0:http://rvi-cctv.ru/upload/resize_cache/iblock/a23/369_216_1/a23b4ff7f99e6be367b84cd13b4a8a5e.png;"Потребляемая мощность:не более 12 Вт (без учета камер), Формат сжатия видео:Н.264, MJPEG, Видеовыходы:2 BNC / 1 VGA, Количество аудио вх./вых:4/1 (BNC), Тревожные вх./вых.:7/2, Максимальное разрешение записи аналоговых камер:960x576, Разрешение и скорость записи:960x576, 100к/с; 720х576, 100к/с, Допустимые перегрузки:5-500Hz: X / Y / Z в каждом направлении 8 ч; 5-11H: амплитуда 10 мм; 11-300Hz: 50м/с2, Карта памяти:SD-карта до 128 ГБ, Режим архивации:USB Flash, USB HDD, USB CD/DVDRW, Ethernet, WIFI (опционально), USB интерфейс:2 USB порта, Сетевые протоколы:TCP/IP , DDNS, PPPOE, E-mail, FTP, NTP, Сетевые инструменты:Встроенный web-сервер (IE, Google chrome, Firefox Mozilla), сетевой клиент RVi-PSS для Windows XP и Windows 7, OS Linux, MAC OS, Поддержка мобильных платформ:ОS Windows Mobile/Phone, ОS Android, iОS, Диапазон рабочих температур:-40...60°С, Питание:DC6В~36В, Габаритные размеры:180x230x50, Вес:2,1 кг, Размещение:Крепления, автомобильная панель"
"Специализированные решения для видеонаблюдения";http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/;http://rvi-cctv.ru/upload/resize_cache/iblock/28d/247_180_1/RVi-RM08_1.jpg;http://rvi-cctv.ru/catalog/spetsializirovannye_resheniya_dlya_videonablyudeniya/rvi_cfg30_50v4_n_n_rev_1/;10;RVi-CFG30/50V4/N-N;"Уличная&nbsp;IP-камера&nbsp;видеонаблюдения&nbsp;с максимальным разрешением 2048х1536. Специальная версия встроенного программного обеспечения не позволяет обновить камеру до общедоступной версии, не позволяет сменить настройки на умалчиваемые. Настройки ""по-умолчанию"" выставляются в соответствие с требованиями заказчика. Камера имеет открытый кроссплатформенный HTTP API интерфейс настройки и управления. Камера имеет возможность отображения титров поверх основного изображения (Текст. Дата, Время). В камере заложена функция интеграции со стриминговым программным обеспечением Netris iStream.";0:http://rvi-cctv.ru/upload/resize_cache/iblock/d3e/369_216_1/d3e75d6eacb3626aa9386b2bd0985585.jpg;"Тип матрицы:1/3” Цветная, КМОП, Максимальное разрешение трансляции:2048x1536, Разрешение, скорость трансляции:Скорость трансляции до 30 к/сек, Фокусное расстояние объектива:Вариофокальный 2.7-12 мм,  АРД, Нижний порог чувствительности:0.01 лк @ F1.4 цвет / 0.005 лк @ F1.4 ч.б., Режим «День/ночь»:Механический ИК-фильтр, Дальность ИК-подсветки:До 30 м, Разрешение:2048x1536 / 1080P (1920x1080) / 720P (1280x720) / D1 (704x576) / CIF (352x288), Угол обзора:92°-28°, Отношение сигнал/шум:50 дБ, Сетевой интерфейс:10Base-T/100Base-TX Ethernet порт, Сетевые протоколы:HTTP, TCP/IP, IPv4/IPv6, ARP, IGMP, ICMP, RTSP, RTP, UDP, SMTP, FTP, DHCP, DNS, DDNS, PPPOE, UPnP, NTP, Bonjour, SNMPv3, IPFilter, QoS, Multicast, ONVIF, Класс защиты:IP66, Диапазон рабочих температур:-40°С… +50°С, Питание:PoE (IEEE802.3af) / DC 12 В, не более 5,5 Вт, Габаритные размеры:212 x 80 x 72 мм, Материал корпуса:металл"
